,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,17,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Jefferson,1500,108001,10,9
,Nixson,Madison,2000,309801,9,1
,Taft,Polk,1500,193301,8,7
,Truman,Washington,500,257501,7,4
,Fillmore,Pierce,3000,168001,7,8
,Taylor,Monroe,2000,264801,6,3
,Buchanan,Jackson,1500,247901,7,5
,Hayes,Tyler,2500,218701,2,6
,Garfield,Adams,2500,33801,10,10
,Harrison,Coolidge,1500,309801,8,2
,総取引における距離の平均,1850.0,合算地,18500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,7.0
,売りたい家の数,18,買いたい家の数,14,
,売れた家の数,14,買えた家の数,14,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Obama,2000,245001,14,5
,Bush,Clinton,1500,108001,14,9
,Hoover,Cleveland,1500,257501,13,4
,Coolidge,Fillmore,500,74801,12,12
,Adams,Taylor,2500,232701,12,6
,Washington,Hayes,3000,97001,12,10
,Jefferson,Buchanan,1000,45801,12,13
,Madison,Lincoln,1000,26401,9,14
,Monroe,Arthur,2500,108001,11,8
,Jackson,Grant,500,198001,10,7
,Polk,Harrison,2000,336001,7,1
,Tyler,Garfield,1000,312801,6,2
,Buren,Mckinley,1000,94401,10,11
,Pierce,Ford,1000,309800,14,3
,総取引における距離の平均,1500.0,合算地,21000,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,11.0
,売りたい家の数,11,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Taft,1500,115201,8,4
,Clinton,Reagan,2000,348001,7,1
,Obama,Carter,1500,45801,7,7
,Lincoln,Buren,1500,108001,6,5
,Grant,Nixson,3500,74801,4,6
,Arthur,Hoover,2000,309801,5,2
,Cleveland,Truman,3000,33801,7,8
,Mckinley,Roosevelt,3500,302400,8,3
,総取引における距離の平均,2312.0,合算地,18500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,2,買いたい家の数,3,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Bush,500,69801,2,2
,Carter,Johnson,2500,302400,2,1
,総取引における距離の平均,1500.0,合算地,3000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,1,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,6,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Hayes,4500,94401,3,3
,Taylor,Garfield,5000,264801,1,2
,Harrison,Buchanan,2500,309800,3,1
,総取引における距離の平均,4000.0,合算地,12000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,13,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Madison,3000,245001,7,2
,Adams,Jackson,1000,232701,6,3
,Monroe,Jefferson,1000,108001,5,6
,Fillmore,Taylor,3500,168001,4,5
,Buchanan,Harrison,2500,247901,4,1
,Hayes,Buren,1500,218701,1,4
,総取引における距離の平均,2083.0,合算地,12500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,15,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Lincoln,3500,158801,10,4
,Bush,Adams,2000,108001,8,6
,Ford,Obama,2000,115201,10,5
,Jefferson,Washington,500,45801,9,8
,Madison,Monroe,500,26401,8,10
,Jackson,Clinton,2500,198001,9,3
,Buren,Polk,1500,94401,7,7
,Pierce,Grant,1500,309801,5,2
,Garfield,Fillmore,1500,33801,5,9
,Arthur,Truman,3500,309801,10,2
